Gene,Mean(0.5),Mean(1),Mean(2),Mean(4),Mean(7)
2900006A17Rik,10.610034547,0,-15.02050335,-31.31935909,-24.76116003
2900010M23Rik,0,0,0,8.4845948701,9.0428470135
2900026A02Rik,0,-11.66996627,-12.72039758,0,-19.07726275
2900052L18Rik,0,-18.43324565,-22.73820939,0,0
2900056M20Rik,0,-7.843633996,0,-19.36223532,-11.59132525
2900064K03Rik,0,-14.26567011,0,-14.25814273,0
2900092E17Rik,-8.09619576,0,0,0,0
2900093K20Rik,0,0,-14.10852485,-10.35990365,0
3000002C10Rik,-10.87136136,0,0,10.444546409,16.398791463
3010026O09Rik,0,-11.20241775,-13.3881743,0,7.5107452499
3021401N23Rik,0,-9.632723297,0,0,0
3100002H09Rik,0,11.765003116,36.991351146,0,0
3110001D03Rik,0,0,0,0,10.140531419
3110001I22Rik,0,0,11.531873625,0,0
3110003A17Rik,0,0,8.1986483729,16.136732151,34.803134621
3110005L24Rik,0,0,-11.59603923,-9.169288458,0
3110040N11Rik,0,0,0,0,9.5987695077
3110052M02Rik,7.6095161567,0.1394371785,0,0,0
3110057O12Rik,0,-4.095769599,-9.412048423,-15.57434308,-10.20055831
3110062M04Rik,0,-25.36714932,-44.71310197,0,0
3110073H01Rik,0,0,-12.71038012,0,0
3200002M19Rik,0,0,0,35.211805225,47.861516661
3300002A11Rik,-14.941251,0,-34.64165144,-42.05254697,-16.49549696
3632451O06Rik,0,0,-11.24968238,0,0
4632419I22Rik,0,0,0,0,7.4387245827
4632427E13Rik,7.6095161567,0,0,-10.66807525,0
4632434I11Rik,0,0,0,41.873810288,66.944608111
4732418C07Rik,0,0,0,0,-8.903088655
4732444A12Rik,0,-8.072328577,-13.1106031,0,0
4732460I02Rik,0,0,0,-15.8784265,-8.706069612
4831426I19Rik,0,0,0,0,23.288421409
4833414E09Rik,0,0,0,0,-12.97879765
4833417J20Rik,-15.43409948,0,0,0,-14.4421784
4833420G17Rik,0,-9.678480585,-15.56843878,-10.44106021,0
4833431D13Rik,0,0,0,-16.29144038,0
4833432P19Rik,0,13.928058363,17.935307515,0,0
4833439L19Rik,-11.18628293,0,0,0,0
4921506M07Rik,0,0,0,-28.35543348,-25.3593063
4921507G05Rik,-15.51166788,0,0,36.581802298,32.520181397
4921507P07Rik,0,0,0,-24.71346511,-30.44432319
4921524J17Rik,0,-1.80617041,0,0,5.783785879
4921531C22Rik,0,0.2755019567,0,0,0
4921534H16Rik,-11.05817929,0,0,0,0
4922501C03Rik,0,0,0,0,7.9104065589
4922501L14Rik,0,17.923858894,26.049469995,-29.65660027,-48.49844712
4930402H24Rik,-11.41787125,-12.57627714,-6.194662388,-9.600923491,-12.39889077
4930404A10Rik,0,0,23.967564966,0,0
4930405O22Rik,0,0,0,-8.403785287,0
4930422G04Rik,0,0,0,24.686107356,41.725993013
4930427A07Rik,0,0,0,16.804482449,56.89469023
4930430F08Rik,0,14.497304025,-6.23959703,0,0
4930431P19Rik,0,-7.275674593,0,0,0
4930444A02Rik,0,-10.28082873,0,0,0
4930444F02Rik,0,0,0,0,27.261245108
4930451C15Rik,0,-8.74623724,-22.63253994,-20.81868171,-21.12866863
4930452B06Rik,0,0,-9.222052404,0,0
4930453N24Rik,0,0,10.888235757,0,0
4930471M23Rik,0,0,13.719056057,13.905330275,9.4633441724
4930485B16Rik,0,-6.732342169,0,-11.55026066,0
4930486L24Rik,0,0,17.852230782,0,0
4930503L19Rik,0,0,0,7.8283536026,11.972583847
4930506M07Rik,0,-9.422859793,0,0,0
4930511M11Rik,0,29.128245895,0,0,0
4930520O04Rik,0,0,0,-13.24812706,0
4930523C07Rik,0,0,0,-17.76315198,0
4930524J08Rik,0,0,0,10.298931453,20.967540863
4930529M08Rik,0,0,-11.3529162,-17.45446457,0
4930538K18Rik,0,0,0,-13.77898724,-17.29848995
4930547N16Rik,0,0,0,42.178872631,84.594482084
4930555G01Rik,0,12.460346311,22.173769742,0,0
4930556M19Rik,0,0,-15.9263288,-23.88710451,-17.80597965
4930562F07Rik,8.09619576,3.526501752,-9.621388587,-15.56157218,-10.88096554
4930564C03Rik,0,8.9594382867,17.317459291,0,0
4930572P05Rik,0,26.947805777,0,0,0
4930579G22Rik,0,-17.94773536,-27.41337635,-22.018445,-16.05554069
4930581F22Rik,0,0,0,-16.7026657,-4.750916896
4930588N13Rik,0,0,0,-9.042757062,0
4930599N23Rik,0,30.109095793,59.232658119,45.391466468,29.098213256
4931406C07Rik,0,0.3826055673,0,0,-10.96526985
4931406P16Rik,0,0,0,0,-6.854316297
4931408A02Rik,0,0,0,0,-14.57087344
4931428F04Rik,0,0,-12.75913612,0,0
